Total: 350
11735 	 
12644 	 ..
13655.8 	 ..
14641 	 
15306 	 .
16262.888888888889 	 .....
17253.428571428572 	 ....
17961.25 	 ..
18613.14285714286 	 ....
19273.14285714286 	 ....
20030.333333333332 	 .....
21011 	 ....
21589.5 	 ..
22464.8 	 .....
23217 	 
23910 	 ..
25261.333333333332 	 .
25877 	 
26608 	 ..
27235.666666666668 	 .
28038.25 	 ..
29003 	 
29586 	 
30318.666666666668 	 .
31136 	 
31930 	 
33116.666666666664 	 .
34054 	 
37171 	 
37752 	 
38518.5 	 .
40081 	 .
41981 	 
42674 	 
44406 	 ..
45482 	 
47000.75 	 ..
49021.75 	 ..
49843 	 
50508 	 .
52302.333333333336 	 .
53103 	 ..
54057 	 .
55422.2 	 ..
56648 	 ..
57480 	 ..
58638.833333333336 	 ...
59573 	 ..
60232 	 ..
60969 	 .....
61832.28571428572 	 ....
62726 	 .
63462.75 	 ..
64354.666666666664 	 .
66051 	 ..
66629 	 
67295 	 .
67990.66666666667 	 .
68869 	 .
69556 	 ..
70199 	 .
71086.6 	 ..
72445.75 	 ....
73370.75 	 ..
74149 	 .
74791 	 .
75468 	 .
76156.85714285714 	 ....
77264.33333333333 	 ...
77995 	 .
78771.2 	 ..
79681.36363636363 	 ......
80532.66666666667 	 ...
81757.66666666667 	 .
82953.85714285714 	 ....
84052 	 
85024.33333333333 	 .
86219.5 	 .
87431.16666666667 	 ...
88529.75 	 ..
89300 	 
90188.5 	 .
91011 	 ..
91780.6 	 ..
92701 	 ..
93766.5 	 ..
94612.5 	 .
95713.5 	 .
97828 	 .
99168.75 	 ..
102266 	 
104123 	 
109441 	 
116596 	 
119645 	 
127091 	 
156612 	 
210244 	 
597787 	 
1e+06 	 
