Total: 773
8817 	 
9514.5 	 .
10170.5 	 .
11071.8 	 .
11658.47619047619 	 .....
12179.333333333334 	 ...
12529.416666666666 	 ...
12876.181818181818 	 ..
13224.555555555555 	 ..
13641.2 	 ...
14203.444444444445 	 ..
14620.454545454546 	 ..
14989.59090909091 	 .....
15351.92857142857 	 ...
15723.73076923077 	 ......
16227.434782608696 	 .....
16670.083333333332 	 ...
17204.25 	 .....
17832.444444444445 	 ....
18374.36842105263 	 ....
18782.70588235294 	 ....
19232.266666666666 	 ...
19557.545454545456 	 ..
19936.777777777777 	 ....
20536.8125 	 ....
21021.52380952381 	 .....
21556.636363636364 	 ..
22251.8 	 .....
22849.470588235294 	 ....
23229.7 	 ..
23693.882352941175 	 ....
24218.3 	 ..
24815.833333333332 	 ....
25344 	 .
25692.88888888889 	 ..
26006 	 ..
26366.684210526317 	 ....
26821.714285714286 	 ...
27259.222222222223 	 ..
27622.4 	 ..
28021.470588235294 	 ....
28618.333333333332 	 .....
29180.076923076922 	 ...
29586.909090909092 	 ..
30200.3 	 ..
30558.25 	 ..
31012.8125 	 ....
31581 	 
31923.25 	 ...
32411.88888888889 	 ..
33107.8 	 ..
33529.5 	 .
33876 	 .
34216 	 
34544.5 	 
34982.71428571428 	 .
35436 	 
35923.4 	 .
36358 	 .
36718.333333333336 	 
37299.5 	 
37851.666666666664 	 
39256.5 	 
39721.5 	 
40212.333333333336 	 
40539.8 	 .
41390.75 	 .
41790 	 
42255 	 
43323 	 
44968.333333333336 	 
45620 	 
45959 	 
46895 	 
47539.25 	 .
48583 	 
48911 	 
50259 	 
51062 	 
51679.5 	 
53366.5 	 
55498 	 
59423 	 
60168 	 
60594 	 
63386 	 
64580 	 
66086 	 
66431 	 
68033.5 	 
68657 	 
72029 	 
76962 	 
82067 	 
99176 	 
131460 	 
140621 	 
153876 	 
155562 	 
843568 	 
