Total: 189
1049 	 .
1832 	 .
2430 	 .
2828 	 .
3157 	 .
3440 	 .
4095 	 .
4555 	 .
4762 	 .
5047 	 ..
5213 	 .
5386.5 	 ..
5517.5 	 ..
5646 	 .
5920 	 ..
6059 	 ..
6282 	 .
6939 	 ..
7161 	 .
7251 	 .
7590 	 .
7706.5 	 ..
8094 	 .
8224.5 	 ..
8314.5 	 ..
8480 	 .
8568 	 .
8805.5 	 ..
8912 	 ..
9158 	 .
9263 	 .
9392.25 	 ....
9531 	 .
9710 	 .
9923.5 	 ..
10069.666666666666 	 ...
10198.666666666666 	 ......
10321.5 	 ..
10503.5 	 ..
10643 	 .
10725 	 ...
10854.333333333334 	 ...
11056.8 	 .....
11214.5 	 ..
11343.8 	 .....
11475 	 .
11591.333333333334 	 ...
11682.8 	 .....
11791.5 	 ..
11990.166666666666 	 ......
12126 	 .
12217.5 	 ..
12331.5 	 ....
12481.2 	 .....
12669 	 .
12747 	 ...
12852 	 .
12975.25 	 ....
13121 	 ....
13341.833333333334 	 ......
13548.666666666666 	 ...
13684.5 	 ..
13849 	 .
13973.5 	 ..
14090 	 ....
14251 	 .
14374 	 .
14592 	 .
14699 	 .
14805 	 ...
14919 	 ..
15111.5 	 ..
15214 	 .
15310.75 	 ....
15421 	 .
15532 	 .
15704 	 ..
15803.666666666666 	 ...
15937 	 .
16228 	 .
16791 	 .
16920 	 .
17397 	 .
17974.5 	 ..
18847 	 .
19051 	 .
19529 	 .
19619 	 .
21320 	 .
21612 	 ..
21957 	 .
29007 	 .
29090 	 .
29934 	 .
34471 	 .
36963 	 .
38335 	 .
41600 	 .
42385 	 .
343260 	 .
